Symbol,Currency Pair
EURUSD=X,EUR/USD
EUR=X,USD/EUR
INR=X,USD/INR
EURINR=X,EUR/INR
INRGBP=X,INR/GBP
INRUSD=X,INR/USD
JPY=X,USD/JPY
HKD=X,USD/HKD
SGD=X,USD/SGD
GBPUSD=X,GBP/USD
MXN=X,USD/MXN
PHP=X,USD/PHP
IDR=X,USD/IDR
THB=X,USD/THB
MYR=X,USD/MYR
ZAR=X,USD/ZAR
RUB=X,USD/RUB
CHF=X,USD/CHF
